"paper_id","paper_code","paper_title","paper_subject_id","paper_date_of_submission","paper_presentation_path","paper_contact_author_id","paper_isclose","paper_hashtag","paper_dor","paper_dirty",
"1","1","test paper 1 2015","1","2014-07-19 00:00:00","INDIACom15_1_presentation (1).ppt","2","1","","0000-00-00 00:00:00","0",
"2","2","test paper 11 2015","1","2014-07-31 00:00:00","","2","0","","0000-00-00 00:00:00","0",
"3","3","test paper 2","1","2014-07-31 00:00:00","","2","1","","0000-00-00 00:00:00","0",
"4","4","Test Paper forT esting","1","2014-07-31 00:00:00","","1588","1","","0000-00-00 00:00:00","0",
"5","5","Testing","1","2014-07-31 00:00:00","","1588","1","","0000-00-00 00:00:00","0",
"6","6","test paper opera","1","2014-07-31 00:00:00","","2","0","","0000-00-00 00:00:00","0",
"7","7","test 5","1","2014-07-31 00:00:00","","2","0","","0000-00-00 00:00:00","0",
"8","8","Implementation of Novel Approach for Credit Card Fraud Detection","1","2014-08-17 00:00:00","INDIACom15_8_presentation (2).pdf","5413","0","","0000-00-00 00:00:00","0",
"9","9","Credit Card Fraud Detection:Case Study","1","2014-08-23 00:00:00","INDIACom15_9_presentation (1).pdf","5413","0","","0000-00-00 00:00:00","0",
"10","10","A Novel Approach for Credit Card Fraud Detection","1","2014-08-23 00:00:00","INDIACom15_10_presentation (1).pdf","5413","0","","0000-00-00 00:00:00","0",
"11","11","XYZ Paper","1","2014-07-31 00:00:00","","1","0","","0000-00-00 00:00:00","0",
"12","12","XYZ No. 1","1","2014-08-01 00:00:00","","1","0","","0000-00-00 00:00:00","0",
"13","13","XYZ No.2","1","2014-08-01 00:00:00","","1","0","","0000-00-00 00:00:00","0",
"14","14","XYZ No. 3","1","2014-08-01 00:00:00","","1","0","","0000-00-00 00:00:00","0",
"15","15","XYZ No. 4","1","2014-08-01 00:00:00","","1","0","","0000-00-00 00:00:00","0",
"16","16","XYZ No. 5","1","2014-08-01 00:00:00","","1","0","","0000-00-00 00:00:00","0",
"17","17","COMPARATIVE STUDY OF FUZZY BASED ROUTE RECOVERY PROTOCOLS FOR MANET","1","2014-08-02 00:00:00","","4633","0","","0000-00-00 00:00:00","0",
"18","18","test 2 aug","1","2014-08-02 00:00:00","","2","1","","0000-00-00 00:00:00","0",
"19","19","EVALUATION OF EUCLIDEAN AND MANHANTTAN METRICS IN CONTENT BASED IMAGE RETRIEVAL SYSTEM","1","2014-08-23 00:00:00","","1919","0","","0000-00-00 00:00:00","0",
"20","20","XYZ No. 6","1","2014-08-04 00:00:00","","1","1","","0000-00-00 00:00:00","0",
"21","21","STUDY ON EFFICACY OF RELEVANCE FEEDBACK FOR CONTENT BASED IMAGE RETRIEVAL","1","2014-10-22 00:00:00","","1919","0","","0000-00-00 00:00:00","0",
"22","22","Secure by design approach to improve security of object oriented software","1","2014-10-11 00:00:00","","5458","0","","0000-00-00 00:00:00","0",
"23","23","Trial Paper No.: 11","1","2014-08-18 00:00:00","","1","1","","0000-00-00 00:00:00","0",
"24","24","A Review Paper On Fault Tolerance In Cloud Computing","1","2014-08-23 00:00:00","","5471","0","","0000-00-00 00:00:00","0",
"25","25","A survery on top 10 cloud computing security issues","1","2014-09-24 00:00:00","","5492","0","","0000-00-00 00:00:00","0",
